employee_id,first_name,last_name,salary,department_id,job_id,manager_id,hire_date
2000,Jessica,Hawkins,202461.28,104.0,REC01,,2030-02-06
2001,Morgan,Scott,210120.28,,AST01,9999.0,2029-07-12
2002,Katherine,Mccarthy,0.0,999.0,AST01,,2019-03-22
2003,Michael,Wood,0.0,999.0,HR01,9999.0,2021-12-18
2004,James,Jones,268348.03,999.0,BIL01,9999.0,2029-08-19
2005,Julie,Patterson,0.0,999.0,REC01,3560.0,2013-10-09
2006,Adam,Wilkerson,131000.19,999.0,IT01,3881.0,2027-05-11
2007,Amanda,HARPER,,104.0,HYG01,9999.0,2019-04-18
2008,Kelly,Obrien,167522.42,999.0,REC01,9999.0,2024-06-25
2009,Sylvia,Ward,0.0,112.0,BIL01,,2029-09-08
2010,Jerome,Mitchell,,999.0,DDS01,3134.0,2022-04-27
2011,Levi,Johnson,,999.0,SUR01,,2028-05-25
2012,Mercedes,Chung,177528.68,,HYG01,,2016-01-20
2013,Mathew,Roberts,0.0,999.0,DDS01,9999.0,2021-04-17
2014,Nancy,Hartman,102190.96,,REC01,,2026-02-05
2015,Thomas,Proctor,0.0,102.0,HYG01,9999.0,2017-01-08
2016,Olivia,Vaughan,156697.46,,HR01,3848.0,2022-07-04
2017,Paul,MEYERS,,999.0,AST01,9999.0,2029-02-15
2018,Sean,Johnson,214219.55,,MGR01,2117.0,2029-02-15
2019,Melanie,Sullivan,161800.55,999.0,HR01,9999.0,2012-12-27
2020,Lindsey,English,0.0,,REC01,9999.0,2029-12-12
2021,Ryan,Daniel,0.0,,DDS01,,2016-11-09
2022,Nichole,Jones,61849.97,,SUR01,,2012-11-13
2023,Timothy,Odom,0.0,999.0,HYG01,3083.0,2028-07-08
2024,Crystal,Williams,0.0,,BIL01,9999.0,2017-05-17
2025,David,Lopez,157362.33,999.0,DDS01,,2019-07-05
2026,Christine,Larson,,999.0,HYG01,9999.0,2023-11-25
2027,Diana,Johnson,,999.0,DDS01,,2025-06-12
2028,Sharon,Foster,,999.0,BIL01,9999.0,2020-10-27
2029,Justin,Hughes,187752.15,115.0,HR01,3770.0,2014-07-31
2030,John,ALLEN,0.0,999.0,AST01,3660.0,2027-09-11
